episode,win_rate,avg_reward,accuracy,epsilon
323,24.0,-55.96,54.51950523311132,0.04989113249356881
324,23.0,-56.46,55.26066350710901,0.04989113249356881
325,26.0,-51.63,53.900000000000006,0.04989113249356881
326,21.0,-56.52,55.3742802303263,0.04989113249356881
327,19.0,-73.31,51.7948717948718,0.04989113249356881
328,24.0,-52.79,55.06149479659413,0.04989113249356881
329,28.000000000000004,-44.84,54.6875,0.04989113249356881
330,26.0,-47.05,55.45023696682464,0.04989113249356881
331,22.0,-53.21,56.50140318054257,0.04989113249356881
332,20.0,-62.9,54.26052889324192,0.04989113249356881
333,25.0,-50.96,54.73170731707317,0.04989113249356881
334,22.0,-59.73,54.44976076555024,0.04989113249356881
335,30.0,-42.32,54.51923076923077,0.04989113249356881
336,28.999999999999996,-41.96,55.32118887823586,0.04989113249356881
337,18.0,-74.17,52.50245338567223,0.04989113249356881
338,25.0,-54.14,54.15472779369628,0.04989113249356881
339,30.0,-34.54,56.805293005671075,0.04989113249356881
340,27.0,-49.74,53.23886639676113,0.04989113249356881
341,23.0,-57.96,54.5367717287488,0.04989113249356881
342,25.0,-54.74,54.40313111545988,0.04989113249356881
343,24.0,-57.35,53.769841269841265,0.04989113249356881
344,21.0,-61.26,54.34574976122254,0.04989113249356881
345,27.0,-48.4,54.650047938638544,0.04989113249356881
346,28.000000000000004,-37.3,57.43685687558467,0.04989113249356881
347,18.0,-75.44,52.86561264822134,0.04989113249356881
348,28.000000000000004,-46.65,54.20375865479723,0.04989113249356881
349,20.0,-65.88,53.85356454720617,0.04989113249356881
350,32.0,-35.3,55.74092247301275,0.04989113249356881
351,19.0,-70.84,52.0,0.04989113249356881
352,19.0,-59.86,56.417359187442294,0.04989113249356881
353,18.0,-77.43,52.00400801603207,0.04989113249356881
354,23.0,-61.75,52.87009063444109,0.04989113249356881
355,25.0,-51.42,55.24809160305344,0.04989113249356881
356,26.0,-50.39,54.09674234945706,0.04989113249356881
357,21.0,-62.44,54.08062930186824,0.04989113249356881
358,15.0,-80.72,51.84815184815184,0.04989113249356881
359,25.0,-47.55,56.61625708884688,0.04989113249356881
360,28.999999999999996,-41.59,55.35545023696683,0.04989113249356881
361,20.0,-59.93,54.80116391852571,0.04989113249356881
362,26.0,-48.62,54.562737642585546,0.04989113249356881
363,17.0,-70.38,54.21800947867299,0.04989113249356881
364,22.0,-59.37,54.39770554493308,0.04989113249356881
365,22.0,-54.92,55.37735849056604,0.04989113249356881
366,30.0,-38.29,54.330708661417326,0.04989113249356881
367,27.0,-50.71,55.009451795841215,0.04989113249356881
368,26.0,-40.72,57.08920187793427,0.04989113249356881
369,30.0,-40.51,54.60852329038652,0.04989113249356881
370,27.0,-50.68,53.7,0.04989113249356881
371,28.999999999999996,-43.86,54.563492063492056,0.04989113249356881
372,31.0,-37.77,55.05293551491819,0.04989113249356881
373,28.000000000000004,-39.67,56.446991404011456,0.04989113249356881
374,31.0,-36.48,55.50284629981025,0.04989113249356881
375,26.0,-48.72,54.826254826254825,0.04989113249356881
376,25.0,-48.38,56.168224299065415,0.04989113249356881
377,26.0,-58.22,52.63157894736842,0.04989113249356881
378,31.0,-35.27,56.45933014354066,0.04989113249356881
379,22.0,-64.08,52.854330708661415,0.04989113249356881
380,23.0,-63.3,52.79685966633954,0.04989113249356881
381,25.0,-44.4,56.20300751879699,0.04989113249356881
382,21.0,-57.85,55.39772727272727,0.04989113249356881
383,25.0,-45.66,55.896452540747845,0.04989113249356881
384,28.000000000000004,-40.84,56.2795089707271,0.04989113249356881
385,19.0,-66.46,53.463414634146346,0.04989113249356881
386,28.000000000000004,-45.86,55.034213098729225,0.04989113249356881
387,22.0,-55.48,55.11363636363637,0.04989113249356881
388,27.0,-47.01,55.13928914505284,0.04989113249356881
389,25.0,-51.61,54.81049562682215,0.04989113249356881
390,34.0,-35.47,54.421768707483,0.04989113249356881
391,21.0,-65.45,53.36585365853659,0.04989113249356881
392,24.0,-57.97,53.33998005982053,0.04989113249356881
393,16.0,-66.33,55.33707865168539,0.04989113249356881
394,22.0,-54.63,55.61904761904762,0.04989113249356881
395,28.999999999999996,-34.0,56.91287878787878,0.04989113249356881
396,21.0,-66.94,52.83582089552239,0.04989113249356881
397,25.0,-57.66,53.13111545988258,0.04989113249356881
398,27.0,-52.4,54.106280193236714,0.04989113249356881
399,37.0,-23.75,55.76171875,0.04989113249356881
400,33.0,-25.33,56.60919540229885,0.04989113249356881
401,25.0,-53.44,54.162679425837325,0.04989113249356881
402,26.0,-50.12,54.29951690821257,0.04989113249356881
403,25.0,-55.01,54.440154440154444,0.04989113249356881
404,22.0,-60.92,54.06976744186046,0.04989113249356881
405,34.0,-25.18,57.16963448922212,0.04989113249356881
406,23.0,-64.59,52.946954813359525,0.04989113249356881
407,20.0,-67.95,52.53549695740365,0.04989113249356881
408,33.0,-30.85,55.992141453831046,0.04989113249356881
409,21.0,-55.19,55.904059040590404,0.04989113249356881
410,18.0,-63.05,55.56594948550047,0.04989113249356881
411,23.0,-53.95,54.90943755958055,0.04989113249356881
412,28.000000000000004,-47.86,54.52775073028238,0.04989113249356881
413,30.0,-38.75,55.55555555555556,0.04989113249356881
414,23.0,-57.11,54.38247011952191,0.04989113249356881
415,33.0,-25.83,56.90978886756238,0.04989113249356881
416,26.0,-52.78,54.154154154154156,0.04989113249356881
417,33.0,-39.04,54.166666666666664,0.04989113249356881
418,19.0,-67.56,53.609239653512994,0.04989113249356881
419,30.0,-37.89,55.54484088717454,0.04989113249356881
420,22.0,-66.3,52.841475573280164,0.04989113249356881
421,28.000000000000004,-39.75,55.63106796116505,0.04989113249356881
422,18.0,-73.07,52.99901671583087,0.04989113249356881
423,25.0,-46.74,56.060606060606055,0.04989113249356881
424,30.0,-46.03,53.73737373737374,0.04989113249356881
425,20.0,-69.73,52.37623762376238,0.04989113249356881
426,28.999999999999996,-40.08,55.283757338551865,0.04989113249356881
427,23.0,-56.62,55.45023696682464,0.04989113249356881
428,27.0,-52.53,53.9447731755424,0.04989113249356881
429,21.0,-63.66,53.26192794547225,0.04989113249356881
430,23.0,-57.92,54.456415279138106,0.04989113249356881
431,35.0,-28.69,55.404089581304774,0.04989113249356881
432,26.0,-49.58,54.65116279069767,0.04989113249356881
433,27.0,-44.01,55.778414517669525,0.04989113249356881
434,33.0,-31.09,56.4030131826742,0.04989113249356881
435,28.999999999999996,-32.0,57.7490774907749,0.04989113249356881
436,28.999999999999996,-39.72,55.62913907284768,0.04989113249356881
437,26.0,-48.44,55.05293551491819,0.04989113249356881
438,28.000000000000004,-42.36,55.4820415879017,0.04989113249356881
439,30.0,-37.69,56.173421300659754,0.04989113249356881
440,20.0,-62.29,54.82330468003821,0.04989113249356881
441,24.0,-58.69,53.063241106719374,0.04989113249356881
442,28.000000000000004,-39.18,56.19047619047619,0.04989113249356881
443,22.0,-60.99,54.67695274831244,0.04989113249356881
444,17.0,-68.78,53.98481973434534,0.04989113249356881
445,23.0,-56.87,54.33526011560693,0.04989113249356881
446,19.0,-66.25,54.43159922928709,0.04989113249356881
447,26.0,-58.33,52.129817444219064,0.04989113249356881
448,28.000000000000004,-46.21,54.95238095238095,0.04989113249356881
449,21.0,-64.65,53.15581854043393,0.04989113249356881
450,25.0,-50.71,55.32945736434108,0.04989113249356881
451,24.0,-54.31,54.39453125,0.04989113249356881
452,28.000000000000004,-39.97,56.018957345971565,0.04989113249356881
453,27.0,-46.71,55.14285714285714,0.04989113249356881
454,28.999999999999996,-42.87,55.014605647517044,0.04989113249356881
455,24.0,-55.58,53.333333333333336,0.04989113249356881
456,25.0,-52.54,54.510556621881,0.04989113249356881
457,24.0,-54.77,53.988326848249024,0.04989113249356881
458,22.0,-61.11,53.823237338629596,0.04989113249356881
459,26.0,-49.04,55.5767397521449,0.04989113249356881
460,28.000000000000004,-47.75,54.37743190661478,0.04989113249356881
461,24.0,-55.88,53.98230088495575,0.04989113249356881
462,22.0,-55.81,54.92424242424242,0.04989113249356881
463,20.0,-65.97,53.8830297219559,0.04989113249356881
464,26.0,-57.31,53.33988212180747,0.04989113249356881
465,24.0,-54.55,53.838582677165356,0.04989113249356881
466,28.000000000000004,-43.57,55.396370582617,0.04989113249356881
467,36.0,-24.04,56.15763546798029,0.04989113249356881
468,26.0,-48.96,54.932301740812385,0.04989113249356881
469,32.0,-36.11,55.86538461538461,0.04989113249356881
470,17.0,-76.09,52.9296875,0.04989113249356881
471,20.0,-61.37,54.725897920604915,0.04989113249356881
472,34.0,-21.41,58.25602968460112,0.04989113249356881
473,27.0,-36.48,57.24703737465816,0.04989113249356881
474,28.999999999999996,-37.44,55.8766859344894,0.04989113249356881
475,23.0,-55.61,54.9812030075188,0.04989113249356881
476,24.0,-48.44,55.80952380952381,0.04989113249356881
477,26.0,-54.0,53.98230088495575,0.04989113249356881
478,28.999999999999996,-46.7,53.775510204081634,0.04989113249356881
479,18.0,-68.24,53.793774319066145,0.04989113249356881
480,27.0,-47.63,54.59825750242013,0.04989113249356881
481,20.0,-61.56,54.72779369627507,0.04989113249356881
482,17.0,-71.25,54.26136363636363,0.04989113249356881
483,19.0,-68.39,53.34645669291339,0.04989113249356881
484,28.000000000000004,-50.77,53.40466926070039,0.04989113249356881
485,22.0,-56.59,55.01930501930502,0.04989113249356881
486,19.0,-68.48,53.592233009708735,0.04989113249356881
487,22.0,-56.01,55.208333333333336,0.04989113249356881
488,21.0,-67.42,52.108433734939766,0.04989113249356881
489,28.999999999999996,-42.13,55.25812619502868,0.04989113249356881
